state,county,candidate,party,total_votes,percent_dem,percent_rep
Delaware,Kent County,Joe Biden,DEM,44552,0.520704527,0.479295473
Delaware,Kent County,Donald Trump,REP,41009,,
Delaware,New Castle County,Joe Biden,DEM,195034,0.688198223,0.311801777
Delaware,New Castle County,Donald Trump,REP,88364,,
Delaware,Sussex County,Donald Trump,REP,71230,0.556867221,0.443132779
Delaware,Sussex County,Joe Biden,DEM,56682,,
District of Columbia,District of Columbia,Joe Biden,DEM,317323,0.944669538,0.055330462
District of Columbia,District of Columbia,Donald Trump,REP,18586,,
Florida,Alachua County,Joe Biden,DEM,89704,0.637663852,0.362336148
Florida,Alachua County,Donald Trump,REP,50972,,
Florida,Baker County,Donald Trump,REP,11911,0.853957557,0.146042443
Florida,Baker County,Joe Biden,DEM,2037,,
Florida,Bay County,Donald Trump,REP,66097,0.72070962,0.27929038
Florida,Bay County,Joe Biden,DEM,25614,,
Florida,Bradford County,Donald Trump,REP,10334,0.765821847,0.234178153
Florida,Bradford County,Joe Biden,DEM,3160,,
Florida,Brevard County,Donald Trump,REP,207883,0.583233267,0.416766733
Florida,Brevard County,Joe Biden,DEM,148549,,
Florida,Broward County,Joe Biden,DEM,618752,0.64983968,0.35016032
Florida,Broward County,Donald Trump,REP,333409,,
Florida,Calhoun County,Donald Trump,REP,5274,0.813512263,0.186487737
Florida,Calhoun County,Joe Biden,DEM,1209,,
Florida,Charlotte County,Donald Trump,REP,73243,0.634050694,0.365949306
Florida,Charlotte County,Joe Biden,DEM,42273,,
Florida,Citrus County,Donald Trump,REP,65352,0.706936091,0.293063909
Florida,Citrus County,Joe Biden,DEM,27092,,
Florida,Clay County,Donald Trump,REP,84480,0.68796469,0.31203531
Florida,Clay County,Joe Biden,DEM,38317,,
Florida,Collier County,Donald Trump,REP,128950,0.624240576,0.375759424
Florida,Collier County,Joe Biden,DEM,77621,,
Florida,Columbia County,Donald Trump,REP,23836,0.727816794,0.272183206
Florida,Columbia County,Joe Biden,DEM,8914,,
Florida,DeSoto County,Donald Trump,REP,8313,0.661231308,0.338768692
Florida,DeSoto County,Joe Biden,DEM,4259,,
Florida,Dixie County,Donald Trump,REP,6759,0.831979321,0.168020679
Florida,Dixie County,Joe Biden,DEM,1365,,
Florida,Duval County,Joe Biden,DEM,252556,0.519322748,0.480677252
Florida,Duval County,Donald Trump,REP,233762,,
Florida,Escambia County,Donald Trump,REP,96674,0.576803518,0.423196482
Florida,Escambia County,Joe Biden,DEM,70929,,
Florida,Flagler County,Donald Trump,REP,43043,0.604502556,0.395497444
Florida,Flagler County,Joe Biden,DEM,28161,,
Florida,Franklin County,Donald Trump,REP,4675,0.688005887,0.311994113
Florida,Franklin County,Joe Biden,DEM,2120,,
